Example,Mood,Recommendation
I’m feeling on top of my game today,Excited,Power Yoga
I feel like I’m in my prime today,Excited,Power Yoga
I’m full of fire and excitement,Excited,Power Yoga
I’m feeling unstoppable and excited,Excited,Power Yoga
I’m super stoked and ready to move,Excited,Power Yoga
I’m so hyped to get going,Excited,Power Yoga
I feel absolutely amazing today,Excited,Power Yoga
I’m so pumped up and excited for today,Excited,Power Yoga
I’m ready to take charge of the day,Excited,Power Yoga
I feel full of excitement and life,Excited,Power Yoga
I’m feeling unstoppable today,Excited,Power Yoga
I am feeling crazy,Excited,Power Yoga
I am feeling energectic,Excited,Power Yoga
"bit angry, bit something else...",Angry,Ashtanga Yoga
"Probably angry, not sure though.",Angry,Ashtanga Yoga
"Honestly, no clue, but maybe angry.",Angry,Ashtanga Yoga
angry ??? not sure tho.,Angry,Ashtanga Yoga
"angry-ish, or not?",Angry,Ashtanga Yoga
Feeling angry but also okay.,Angry,Ashtanga Yoga
"Probably angry, not sure though.",Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
"Honestly, no clue, but maybe angry.",Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
angry 🤔 but can't tell for sure.,Angry,Ashtanga Yoga
"IDK, but it feels angry somehow.",Angry,Ashtanga Yoga
feelin' kinda angry today,Angry,Ashtanga Yoga
"Ugh, IDK maybe angry 😞",Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
"IDK what I feel rn, maybe angry?",Angry,Ashtanga Yoga
"angry-ish, or not?",Angry,Ashtanga Yoga
"Probably angry, not sure though.",Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
"Angry and a bit anxious, I guess.",Angry,Ashtanga Yoga
"coffee first, then angry mood",Angry,Ashtanga Yoga
angry 🤔 but can't tell for sure.,Angry,Ashtanga Yoga
Somewhere between angry and fine.,Angry,Ashtanga Yoga
"IDK what I feel rn, maybe angry?",Angry,Ashtanga Yoga
Somewhere between angry and fine.,Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
"IDK, but it feels angry somehow.",Angry,Ashtanga Yoga
feelin' kinda angry today,Angry,Ashtanga Yoga
Just angry vibes rn...,Angry,Ashtanga Yoga
"Angry and a bit anxious, I guess.",Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
"bit angry, bit something else...",Angry,Ashtanga Yoga
angry ??? not sure tho.,Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
"Ugh, IDK maybe angry 😞",Angry,Ashtanga Yoga
"helppp, angry mood I think?",Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
Just angry vibes rn...,Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
"IDK, but it feels angry somehow.",Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
angry ??? not sure tho.,Angry,Ashtanga Yoga
"helppp, angry mood I think?",Angry,Ashtanga Yoga
"angry-ish, or not?",Angry,Ashtanga Yoga
Feeling angry but also okay.,Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
"angry-ish, or not?",Angry,Ashtanga Yoga
angry ??? not sure tho.,Angry,Ashtanga Yoga
"Angry and a bit anxious, I guess.",Angry,Ashtanga Yoga
"helppp, angry mood I think?",Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
"bit angry, bit something else...",Angry,Ashtanga Yoga
"IDK what I feel rn, maybe angry?",Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
Feeling sooo angry right now!,Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
Feeling sooo angry right now!,Angry,Ashtanga Yoga
angry ??? not sure tho.,Angry,Ashtanga Yoga
"IDK what I feel rn, maybe angry?",Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
Feeling sooo angry right now!,Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
"Probably angry, not sure though.",Angry,Ashtanga Yoga
"Honestly, no clue, but maybe angry.",Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
Feeling sooo angry right now!,Angry,Ashtanga Yoga
Feeling angry but also okay.,Angry,Ashtanga Yoga
Feeling angry but also okay.,Angry,Ashtanga Yoga
"helppp, angry mood I think?",Angry,Ashtanga Yoga
"Probably angry, not sure though.",Angry,Ashtanga Yoga
"IDK, but it feels angry somehow.",Angry,Ashtanga Yoga
"IDK, but it feels angry somehow.",Angry,Ashtanga Yoga
Sorta angry... does that count?,Angry,Ashtanga Yoga
Somewhere between angry and fine.,Angry,Ashtanga Yoga
"IDK, but it feels angry somehow.",Angry,Ashtanga Yoga
angry 🤔 but can't tell for sure.,Angry,Ashtanga Yoga
"Probably angry, not sure though.",Angry,Ashtanga Yoga
"Angry and a bit anxious, I guess.",Angry,Ashtanga Yoga
"Angry and a bit anxious, I guess.",Angry,Ashtanga Yoga
Feeling angry but also okay.,Angry,Ashtanga Yoga
"helppp, angry mood I think?",Angry,Ashtanga Yoga
Kinda angry and excited at once.,Angry,Ashtanga Yoga
"Angry and a bit anxious, I guess.",Angry,Ashtanga Yoga
"Ugh, IDK maybe angry 😞",Angry,Ashtanga Yoga
angry 🤔 but can't tell for sure.,Angry,Ashtanga Yoga
"Angry and a bit anxious, I guess.",Angry,Ashtanga Yoga
Somewhere between angry and fine.,Angry,Ashtanga Yoga
"coffee first, then angry mood",Angry,Ashtanga Yoga
feelin' kinda angry today,Angry,Ashtanga Yoga
"coffee first, then angry mood",Angry,Ashtanga Yoga
Somewhere between angry and fine.,Angry,Ashtanga Yoga
"IDK what I feel rn, maybe angry?",Angry,Ashtanga Yoga
feelin' kinda angry today,Angry,Ashtanga Yoga
"Not sure, angry? or something else?",Angry,Ashtanga Yoga
"Honestly, no clue, but maybe angry.",Angry,Ashtanga Yoga
Somewhere between angry and fine.,Angry,Ashtanga Yoga
"Angry and a bit anxious, I guess.",Angry,Ashtanga Yoga
"helppp, angry mood I think?",Angry,Ashtanga Yoga
"helppp, angry mood I think?",Angry,Ashtanga Yoga
"angry-ish, or not?",Angry,Ashtanga Yoga
I’m really frustrated right now,Angry,Ashtanga Yoga
I can’t believe this is happening,Angry,Ashtanga Yoga
I’m so upset about everything,Angry,Ashtanga Yoga
This situation is making me so angry,Angry,Ashtanga Yoga
I’m completely irritated right now,Angry,Ashtanga Yoga
I’m boiling with anger,Angry,Ashtanga Yoga
I’m about to lose my temper,Angry,Ashtanga Yoga
This is so frustrating,Angry,Ashtanga Yoga
I can’t handle this anymore,Angry,Ashtanga Yoga
I’m so mad about this,Angry,Ashtanga Yoga
I’m really pissed off right now,Angry,Ashtanga Yoga
I’m fed up with this,Angry,Ashtanga Yoga
I can’t believe they did that,Angry,Ashtanga Yoga
I’m seriously angry about what happened,Angry,Ashtanga Yoga
I feel so mad right now,Angry,Ashtanga Yoga
I can’t calm down I’m so angry,Angry,Ashtanga Yoga
This is driving me crazy,Angry,Ashtanga Yoga
I’m losing my patience,Angry,Ashtanga Yoga
I’m so upset about everything that happened,Angry,Ashtanga Yoga
I’m not happy about this at all,Angry,Ashtanga Yoga
I can’t stop feeling angry,Angry,Ashtanga Yoga
I feel like I’m about to explode,Angry,Ashtanga Yoga
I’m so irritated with everything,Angry,Ashtanga Yoga
I’m so mad I can’t think straight,Angry,Ashtanga Yoga
This situation is really testing me,Angry,Ashtanga Yoga
I’m extremely angry right now,Angry,Ashtanga Yoga
I feel like shouting at someone,Angry,Ashtanga Yoga
I just want to punch something,Angry,Ashtanga Yoga
I can’t take it anymore,Angry,Ashtanga Yoga
This is the last straw,Angry,Ashtanga Yoga
I’m about to lose control,Angry,Ashtanga Yoga
This is so unfair,Angry,Ashtanga Yoga
I feel like everything is against me,Angry,Ashtanga Yoga
I’m done with this,Angry,Ashtanga Yoga
This is just too much to handle,Angry,Ashtanga Yoga
I feel so irritated,Angry,Ashtanga Yoga
I’m furious with this situation,Angry,Ashtanga Yoga
I can’t believe what just happened,Angry,Ashtanga Yoga
I’m so mad I can’t think clearly,Angry,Ashtanga Yoga
Everything is making me angry,Angry,Ashtanga Yoga
I’m at my limit right now,Angry,Ashtanga Yoga
I’m so frustrated with everything going on,Angry,Ashtanga Yoga
I don’t know how to deal with this anger,Angry,Ashtanga Yoga
I feel so pissed off,Angry,Ashtanga Yoga
This is so messed up,Angry,Ashtanga Yoga
I’m so done with this situation,Angry,Ashtanga Yoga
I feel like I’m about to snap,Angry,Ashtanga Yoga
I just need to vent,Angry,Ashtanga Yoga
I’m totally enraged right now,Angry,Ashtanga Yoga
Everything is making me lose my mind,Angry,Ashtanga Yoga
I’m so agitated right now,Angry,Ashtanga Yoga
I just want to scream,Angry,Ashtanga Yoga
I’m so upset I can’t focus,Angry,Ashtanga Yoga
This is really testing my patience,Angry,Ashtanga Yoga
I can’t stay calm right now,Angry,Ashtanga Yoga
I feel like I’m about to explode,Angry,Ashtanga Yoga
I’m so mad I could cry,Angry,Ashtanga Yoga
I’m really angry and I can’t hide it,Angry,Ashtanga Yoga
This is really irritating me,Angry,Ashtanga Yoga
I just can’t take it anymore,Angry,Ashtanga Yoga
I feel completely enraged,Angry,Ashtanga Yoga
I can’t calm down at all,Angry,Ashtanga Yoga
This is pushing me to my limits,Angry,Ashtanga Yoga
I’m so furious right now,Angry,Ashtanga Yoga
I’m done with all of this,Angry,Ashtanga Yoga
Everything is getting on my nerves,Angry,Ashtanga Yoga
I feel like I could explode,Angry,Ashtanga Yoga
I can’t stop being angry,Angry,Ashtanga Yoga
I’m totally livid right now,Angry,Ashtanga Yoga
I can’t calm my thoughts,Angry,Ashtanga Yoga
This is driving me up the wall,Angry,Ashtanga Yoga
I’m really angry about how things turned out,Angry,Ashtanga Yoga
I am so angry with this,Angry,Ashtanga Yoga
I can’t believe how angry I feel,Angry,Ashtanga Yoga
Everything is making me feel angry,Angry,Ashtanga Yoga
I can’t believe they did this,Angry,Ashtanga Yoga
This whole thing is just making me furious,Angry,Ashtanga Yoga
I’m so angry that I can’t think straight,Angry,Ashtanga Yoga
I just can’t hold back this anger anymore,Angry,Ashtanga Yoga
I feel completely outraged right now,Angry,Ashtanga Yoga
I just want to lash out,Angry,Ashtanga Yoga
I can’t believe how upset I am,Angry,Ashtanga Yoga
This is just infuriating,Angry,Ashtanga Yoga
Everything is just pushing me to the edge,Angry,Ashtanga Yoga
I’m so angry I can’t even focus,Angry,Ashtanga Yoga
This is making me lose my cool,Angry,Ashtanga Yoga
I’m boiling with rage,Angry,Ashtanga Yoga
I’m completely irritated with everything,Angry,Ashtanga Yoga
This situation is really frustrating me,Angry,Ashtanga Yoga
I’m really pissed off at the moment,Angry,Ashtanga Yoga
I feel like everything is going wrong,Angry,Ashtanga Yoga
I can’t deal with this anger,Angry,Ashtanga Yoga
This has really gotten on my nerves,Angry,Ashtanga Yoga
I’m so mad I can’t stand it,Angry,Ashtanga Yoga
I can’t believe how upset I am right now,Angry,Ashtanga Yoga
I feel like I’m about to break,Angry,Ashtanga Yoga
This is really starting to get under my skin,Angry,Ashtanga Yoga
I feel so annoyed right now,Angry,Ashtanga Yoga
This is just so infuriating,Angry,Ashtanga Yoga
I’m on the edge of losing my temper,Angry,Ashtanga Yoga
I can’t seem to shake off this anger,Angry,Ashtanga Yoga
Everything is just making me more angry,Angry,Ashtanga Yoga
I’m really annoyed with how things turned out,Angry,Ashtanga Yoga
I feel like I’m about to snap,Angry,Ashtanga Yoga
This whole situation is just too much,Angry,Ashtanga Yoga
I feel like I can’t take it anymore,Angry,Ashtanga Yoga
I’m losing my patience with all of this,Angry,Ashtanga Yoga
I feel so frustrated I can’t express it,Angry,Ashtanga Yoga
I’m really ticked off right now,Angry,Ashtanga Yoga
Everything is just too much to handle,Angry,Ashtanga Yoga
I feel like everything is going against me,Angry,Ashtanga Yoga
This is really testing my patience,Angry,Ashtanga Yoga
I’m at my limit,Angry,Ashtanga Yoga
I’m so angry right now it’s overwhelming,Angry,Ashtanga Yoga
I feel completely consumed by anger,Angry,Ashtanga Yoga
I’m so mad that I can’t think straight,Angry,Ashtanga Yoga
I just want to get away from this,Angry,Ashtanga Yoga
I feel like everything is falling apart,Angry,Ashtanga Yoga
I can’t seem to control my temper,Angry,Ashtanga Yoga
I’m boiling over with anger,Angry,Ashtanga Yoga
I feel like I can’t breathe because of this anger,Angry,Ashtanga Yoga
This situation is really making me furious,Angry,Ashtanga Yoga
I’m about to lose it,Angry,Ashtanga Yoga
Everything is making me feel so enraged,Angry,Ashtanga Yoga
I just want to scream,Angry,Ashtanga Yoga
I feel like I’m ready to explode,Angry,Ashtanga Yoga
I just can’t handle this anger anymore,Angry,Ashtanga Yoga
This is really starting to piss me off,Angry,Ashtanga Yoga
I can’t calm down right now,Angry,Ashtanga Yoga
I feel like everything is spinning out of control,Angry,Ashtanga Yoga
This situation has really set me off,Angry,Ashtanga Yoga
I just want to punch something right now,Angry,Ashtanga Yoga
I feel like I’m about to go crazy,Angry,Ashtanga Yoga
I just can’t let this go,Angry,Ashtanga Yoga
This whole thing is making me so mad,Angry,Ashtanga Yoga
I feel like my head is going to explode,Angry,Ashtanga Yoga
Everything is pushing my buttons,Angry,Ashtanga Yoga
I can’t stand how angry I feel,Angry,Ashtanga Yoga
I feel like I need to shout,Angry,Ashtanga Yoga
This is beyond frustrating,Angry,Ashtanga Yoga
I feel like I’m about to break down,Angry,Ashtanga Yoga
I can’t seem to calm my mind,Angry,Ashtanga Yoga
This is really aggravating,Angry,Ashtanga Yoga
I’m losing my patience with this,Angry,Ashtanga Yoga
I just want to get away from this anger,Angry,Ashtanga Yoga
I’m so mad I can’t even focus on anything else,Angry,Ashtanga Yoga
I can’t seem to calm my emotions,Angry,Ashtanga Yoga
I just need to let this out,Angry,Ashtanga Yoga
I feel like I’ve had enough of this,Angry,Ashtanga Yoga
Everything is just so irritating,Angry,Ashtanga Yoga
I can’t believe how angry I feel,Angry,Ashtanga Yoga
I’m about to lose my mind,Angry,Ashtanga Yoga
I feel like this is too much,Angry,Ashtanga Yoga
I can’t seem to shake this anger,Angry,Ashtanga Yoga
I’m really mad about this,Angry,Ashtanga Yoga
I just need to calm down,Angry,Ashtanga Yoga
I can’t stop feeling upset,Angry,Ashtanga Yoga
I’m done with this,Angry,Ashtanga Yoga
I feel like I can’t take this anymore,Angry,Ashtanga Yoga
I can’t handle this anger right now,Angry,Ashtanga Yoga
Everything is just so overwhelming,Angry,Ashtanga Yoga
I’m about to lose it all,Angry,Ashtanga Yoga
I just feel so mad right now,Angry,Ashtanga Yoga
I feel like I’m going to break,Angry,Ashtanga Yoga
I can’t stop this anger from taking over,Angry,Ashtanga Yoga
I’m so mad I don’t know what to do,Angry,Ashtanga Yoga
I feel completely enraged,Angry,Ashtanga Yoga
This is pushing me to the edge,Angry,Ashtanga Yoga
I’m so frustrated right now,Angry,Ashtanga Yoga
I can’t stop feeling angry,Angry,Ashtanga Yoga
Everything is just making me so mad,Angry,Ashtanga Yoga
I can’t handle this anymore,Angry,Ashtanga Yoga
I just want to be left alone,Angry,Ashtanga Yoga
I feel so irritated,Angry,Ashtanga Yoga
I can’t seem to calm down,Angry,Ashtanga Yoga
This is just too much,Angry,Ashtanga Yoga
I feel completely defeated by this anger,Angry,Ashtanga Yoga
I can’t stop being angry about this,Angry,Ashtanga Yoga
This situation is making me so upset,Angry,Ashtanga Yoga
I’m done with being angry,Angry,Ashtanga Yoga
I feel like everything is spinning out of control,Angry,Ashtanga Yoga
This is really getting on my nerves,Angry,Ashtanga Yoga
I’m so mad I feel like crying,Angry,Ashtanga Yoga
I can’t shake off this anger,Angry,Ashtanga Yoga
I’m just so done with this situation,Angry,Ashtanga Yoga
Everything is just building up and making me mad,Angry,Ashtanga Yoga
I feel completely out of control right now,Angry,Ashtanga Yoga
I’m about to snap,Angry,Ashtanga Yoga
I feel like I’m losing my mind,Angry,Ashtanga Yoga
This is completely frustrating,Angry,Ashtanga Yoga
I just can’t hold this anger in,Angry,Ashtanga Yoga
I feel like everything’s against me,Angry,Ashtanga Yoga
I just can’t stand this anymore,Angry,Ashtanga Yoga
I’m feeling so upset about this,Angry,Ashtanga Yoga
I need to release this anger,Angry,Ashtanga Yoga
This is too much to bear,Angry,Ashtanga Yoga
I feel my patience running out,Angry,Ashtanga Yoga
Everything is just getting to me,Angry,Ashtanga Yoga
I’m getting more and more upset,Angry,Ashtanga Yoga
I can’t stop being angry right now,Angry,Ashtanga Yoga
I just need to calm down,Angry,Ashtanga Yoga
Everything is making me furious,Angry,Ashtanga Yoga
This is driving me crazy,Angry,Ashtanga Yoga
I just can’t take it anymore,Angry,Ashtanga Yoga
I’m so done with all of this,Angry,Ashtanga Yoga
I can feel my anger boiling over,Angry,Ashtanga Yoga
This situation is infuriating,Angry,Ashtanga Yoga
I feel like everything is falling apart,Angry,Ashtanga Yoga
I’m at my breaking point,Angry,Ashtanga Yoga
I can’t seem to calm myself,Angry,Ashtanga Yoga
I need to let off some steam,Angry,Ashtanga Yoga
I feel like I’m at my limit,Angry,Ashtanga Yoga
I just want this to end,Angry,Ashtanga Yoga
I can’t keep pretending everything’s fine,Angry,Ashtanga Yoga
I feel like my anger is consuming me,Angry,Ashtanga Yoga
I can’t believe how upset I am,Angry,Ashtanga Yoga
This is too much to handle right now,Angry,Ashtanga Yoga
I feel like everything is going wrong,Angry,Ashtanga Yoga
I just need to release this tension,Angry,Ashtanga Yoga
Everything is making me more frustrated,Angry,Ashtanga Yoga
I can’t hold back this rage,Angry,Ashtanga Yoga
I’m feeling more and more angry,Angry,Ashtanga Yoga
I just want to scream,Angry,Ashtanga Yoga
I feel so enraged by this,Angry,Ashtanga Yoga
I can’t focus because of my anger,Angry,Ashtanga Yoga
This whole situation is irritating me,Angry,Ashtanga Yoga
I’m just furious right now,Angry,Ashtanga Yoga
I feel like I can’t control my emotions,Angry,Ashtanga Yoga
I’m so mad I can’t think straight,Angry,Ashtanga Yoga
This is making me really angry,Angry,Ashtanga Yoga
I just want to let it out,Angry,Ashtanga Yoga
I’m so upset that I can’t stop shaking,Angry,Ashtanga Yoga
Everything is pushing me to the edge,Angry,Ashtanga Yoga
I feel like I’m about to break,Angry,Ashtanga Yoga
This anger is really overwhelming me,Angry,Ashtanga Yoga
I just need to vent,Angry,Ashtanga Yoga
I feel like I’m losing control,Angry,Ashtanga Yoga
I’m on the verge of snapping,Angry,Ashtanga Yoga
I can’t calm down at all,Angry,Ashtanga Yoga
This whole thing is making me furious,Angry,Ashtanga Yoga
I just want to punch something,Angry,Ashtanga Yoga
I feel like my anger is taking over,Angry,Ashtanga Yoga
I can’t stand this anger anymore,Angry,Ashtanga Yoga
I’m ready to lose it,Angry,Ashtanga Yoga
I’m so frustrated right now,Angry,Ashtanga Yoga
I can’t believe this is happening,Angry,Ashtanga Yoga
I’m so mad about what happened,Angry,Ashtanga Yoga
I’m furious with how things turned out,Angry,Ashtanga Yoga
I’m really upset and angry,Angry,Ashtanga Yoga
I can’t handle this anymore,Angry,Ashtanga Yoga
"relaxed-ish, or not?",Relaxed,Meditation
"Ugh, IDK maybe relaxed 😞",Relaxed,Meditation
"relaxed-ish, or not?",Relaxed,Meditation
"Probably relaxed, not sure though.",Relaxed,Meditation
"Relaxed and a bit anxious, I guess.",Relaxed,Meditation
"coffee first, then relaxed mood",Relaxed,Meditation
"coffee first, then relaxed mood",Relaxed,Meditation
relaxed ??? not sure tho.,Relaxed,Meditation
Feeling relaxed but also okay.,Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
relaxed 🤔 but can't tell for sure.,Relaxed,Meditation
Feeling relaxed but also okay.,Relaxed,Meditation
Sorta relaxed... does that count?,Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
Somewhere between relaxed and fine.,Relaxed,Meditation
"IDK, but it feels relaxed somehow.",Relaxed,Meditation
"Honestly, no clue, but maybe relaxed.",Relaxed,Meditation
Kinda relaxed and excited at once.,Relaxed,Meditation
Feeling relaxed but also okay.,Relaxed,Meditation
"Probably relaxed, not sure though.",Relaxed,Meditation
feelin' kinda relaxed today,Relaxed,Meditation
Kinda relaxed and excited at once.,Relaxed,Meditation
"relaxed-ish, or not?",Relaxed,Meditation
"coffee first, then relaxed mood",Relaxed,Meditation
Just relaxed vibes rn...,Relaxed,Meditation
"Probably relaxed, not sure though.",Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
relaxed 🤔 but can't tell for sure.,Relaxed,Meditation
relaxed ??? not sure tho.,Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
"IDK, but it feels relaxed somehow.",Relaxed,Meditation
"Not sure, relaxed? or something else?",Relaxed,Meditation
"Probably relaxed, not sure though.",Relaxed,Meditation
Sorta relaxed... does that count?,Relaxed,Meditation
"Not sure, relaxed? or something else?",Relaxed,Meditation
"Honestly, no clue, but maybe relaxed.",Relaxed,Meditation
"bit relaxed, bit something else...",Relaxed,Meditation
Kinda relaxed and excited at once.,Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
"Honestly, no clue, but maybe relaxed.",Relaxed,Meditation
"relaxed-ish, or not?",Relaxed,Meditation
relaxed ??? not sure tho.,Relaxed,Meditation
feelin' kinda relaxed today,Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
"Honestly, no clue, but maybe relaxed.",Relaxed,Meditation
Just relaxed vibes rn...,Relaxed,Meditation
"IDK, but it feels relaxed somehow.",Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
Just relaxed vibes rn...,Relaxed,Meditation
Just relaxed vibes rn...,Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
"IDK, but it feels relaxed somehow.",Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
"Honestly, no clue, but maybe relaxed.",Relaxed,Meditation
"relaxed-ish, or not?",Relaxed,Meditation
relaxed 🤔 but can't tell for sure.,Relaxed,Meditation
Feeling relaxed but also okay.,Relaxed,Meditation
relaxed 🤔 but can't tell for sure.,Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
relaxed ??? not sure tho.,Relaxed,Meditation
"IDK what I feel rn, maybe relaxed?",Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
"Ugh, IDK maybe relaxed 😞",Relaxed,Meditation
"Probably relaxed, not sure though.",Relaxed,Meditation
"Relaxed and a bit anxious, I guess.",Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
"Ugh, IDK maybe relaxed 😞",Relaxed,Meditation
feelin' kinda relaxed today,Relaxed,Meditation
Feeling relaxed but also okay.,Relaxed,Meditation
"IDK, but it feels relaxed somehow.",Relaxed,Meditation
Feeling sooo relaxed right now!,Relaxed,Meditation
"bit relaxed, bit something else...",Relaxed,Meditation
Kinda relaxed and excited at once.,Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
"Relaxed and a bit anxious, I guess.",Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
feelin' kinda relaxed today,Relaxed,Meditation
Just relaxed vibes rn...,Relaxed,Meditation
"Probably relaxed, not sure though.",Relaxed,Meditation
"IDK, but it feels relaxed somehow.",Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
"Ugh, IDK maybe relaxed 😞",Relaxed,Meditation
"Not sure, relaxed? or something else?",Relaxed,Meditation
"coffee first, then relaxed mood",Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
"IDK, but it feels relaxed somehow.",Relaxed,Meditation
"Relaxed and a bit anxious, I guess.",Relaxed,Meditation
"IDK, but it feels relaxed somehow.",Relaxed,Meditation
"Ugh, IDK maybe relaxed 😞",Relaxed,Meditation
"Honestly, no clue, but maybe relaxed.",Relaxed,Meditation
"Not sure, relaxed? or something else?",Relaxed,Meditation
"Ugh, IDK maybe relaxed 😞",Relaxed,Meditation
"Not sure, relaxed? or something else?",Relaxed,Meditation
relaxed 🤔 but can't tell for sure.,Relaxed,Meditation
Sorta relaxed... does that count?,Relaxed,Meditation
Just relaxed vibes rn...,Relaxed,Meditation
"Not sure, relaxed? or something else?",Relaxed,Meditation
"helppp, relaxed mood I think?",Relaxed,Meditation
"Relaxed and a bit anxious, I guess.",Relaxed,Meditation
"relaxed-ish, or not?",Relaxed,Meditation
I feel like I'm floating on air,Relaxed,Meditation
I’m so relaxed it's like time has slowed down,Relaxed,Meditation
I feel completely calm and centered,Relaxed,Meditation
Everything feels so still and peaceful,Relaxed,Meditation
My mind is clear and quiet,Relaxed,Meditation
I feel balanced and grounded right now,Relaxed,Meditation
There’s a calmness in me that’s just perfect,Relaxed,Meditation
I’m feeling so centered it’s like everything is in harmony,Relaxed,Meditation
I’ve never felt this peaceful before,Relaxed,Meditation
It’s like I’m wrapped in calmness,Relaxed,Meditation
I’m at peace with myself,Relaxed,Meditation
I’m feeling totally zen right now,Relaxed,Meditation
I’m just in a really good space,Relaxed,Meditation
I feel like I’m in my own little world,Relaxed,Meditation
The world around me feels so peaceful,Relaxed,Meditation
I can feel the relaxation in every part of me,Relaxed,Meditation
I’m letting go of all my thoughts,Relaxed,Meditation
Everything is calm nothing is rushing,Relaxed,Meditation
I’m breathing deeply and feeling calm,Relaxed,Meditation
I’m just soaking in this peaceful moment,Relaxed,Meditation
My mind feels completely at ease,Relaxed,Meditation
I’m so calm everything else fades away,Relaxed,Meditation
I feel so grounded and centered right now,Relaxed,Meditation
I’m in a peaceful state of mind,Relaxed,Meditation
I feel so connected to the present moment,Relaxed,Meditation
I’m just breathing and relaxing,Relaxed,Meditation
I feel like I'm exactly where I need to be,Relaxed,Meditation
Everything feels so simple and easy right now,Relaxed,Meditation
I’m in a state of pure relaxation,Relaxed,Meditation
I feel like all my tension is melting away,Relaxed,Meditation
It’s like my body and mind are in perfect harmony,Relaxed,Meditation
I feel so light it’s like I could float,Relaxed,Meditation
I’m just letting go of everything and relaxing,Relaxed,Meditation
Everything is perfectly calm around me,Relaxed,Meditation
I feel like I’ve let all my stress go,Relaxed,Meditation
I feel so peaceful in my own space,Relaxed,Meditation
I’m just taking it easy everything’s so calm,Relaxed,Meditation
I’m letting myself unwind completely,Relaxed,Meditation
I feel like I’m in a state of calm bliss,Relaxed,Meditation
I feel like nothing can disturb my peace,Relaxed,Meditation
I’m so calm it’s like nothing could bother me,Relaxed,Meditation
I feel deeply at peace with everything,Relaxed,Meditation
I’m enjoying this quiet peaceful moment,Relaxed,Meditation
I feel so still and relaxed it’s amazing,Relaxed,Meditation
My whole body feels light and at ease,Relaxed,Meditation
I feel like I’m floating in peace,Relaxed,Meditation
Everything feels calm like a gentle wave,Relaxed,Meditation
I’m just letting myself be in this peaceful moment,Relaxed,Meditation
I feel relaxed from head to toe,Relaxed,Meditation
It feels like everything is in perfect flow,Relaxed,Meditation
I’m feeling completely relaxed my mind is at ease,Relaxed,Meditation
I feel so calm it’s like my mind is clear,Relaxed,Meditation
I’m at peace with everything right now,Relaxed,Meditation
I’m just enjoying this calm nothing to worry about,Relaxed,Meditation
I feel like I’m in perfect harmony with the world,Relaxed,Meditation
I feel so relaxed that I can barely think of anything,Relaxed,Meditation
I feel so relaxed everything else just fades away,Relaxed,Meditation
My whole body is completely relaxed,Relaxed,Meditation
I feel like I'm exactly where I need to be,Relaxed,Meditation
It’s like everything is still and calm inside me,Relaxed,Meditation
I’m just breathing and letting go,Relaxed,Meditation
Everything is so quiet it feels peaceful,Relaxed,Meditation
I feel like I’m living in the moment right now,Relaxed,Meditation
